"","X","id","host_is_superhost","host_response_rate","host_response_time","host_listings_count","host_identity_verified","accommodates","property_type","room_type","guests_included","bathrooms","bedrooms","beds","bed_type","cleaning_fee","minimum_nights","maximum_nights","instant_bookable","cancellation_policy","price","In_Downtown","In_Delridge","In_Lake_City","num_amenities","total_nearby_landmarks"
"1",4115,18527372,"t",0.98,"within an hour",6,"t",6,"Townhouse","Entire home/apt",6,2,3,3,"Real Bed",120,2,15,"t","strict_14_with_grace_period",380,0,0,0,36,0
"2",130,392779,"f",0.9,"within an hour",1,"t",4,"Guest suite","Entire home/apt",2,1,2,2,"Real Bed",85,3,300,"t","moderate",112,0,0,0,24,0
"3",7054,26841053,"f",1,"within a few hours",1,"f",6,"Apartment","Entire home/apt",1,1,3,5,"Real Bed",120,3,29,"f","strict_14_with_grace_period",20,0,0,0,35,1
"4",2648,13222846,"f",1,"within an hour",7,"t",4,"Apartment","Entire home/apt",2,1,2,3,"Real Bed",100,3,365,"f","strict_14_with_grace_period",280,0,0,0,27,0
"5",5488,22152435,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,1125,"t","strict",199,1,0,0,27,3
"6",8107,30745210,"f",1,"within an hour",1,"t",2,"Townhouse","Private room",1,1,1,1,"Real Bed",25,1,45,"t","flexible",70,0,0,0,36,0
"7",2425,12456183,"t",0.86,"within a day",1,"f",4,"Guest suite","Entire home/apt",1,1,1,2,"Real Bed",40,2,1125,"t","moderate",75,0,0,1,27,0
"8",848,4360485,"f",0.5,"within a day",3,"t",2,"House","Private room",1,1,1,1,"Real Bed",50,14,1125,"f","moderate",63,0,0,0,22,0
"9",432,1851863,"t",1,"within an hour",1,"t",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",150,5,120,"f","strict_14_with_grace_period",95,0,0,0,24,0
"10",7349,27900565,"f",1,"within a few hours",1,"f",3,"House","Private room",2,1,1,2,"Real Bed",25,2,1125,"t","moderate",90,0,0,0,25,0
"11",8166,31043835,"t",1,"within an hour",11,"f",6,"Apartment","Entire home/apt",1,2,2,3,"Real Bed",100,1,1125,"t","strict_14_with_grace_period",199,1,0,0,18,5
"12",6009,23377681,"f",1,"within an hour",3,"f",4,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",60,1,1125,"t","strict_14_with_grace_period",188,1,0,0,22,3
"13",5994,23309878,"t",1,"within an hour",2,"t",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",75,1,30,"f","strict_14_with_grace_period",145,1,0,0,34,5
"14",2110,10768347,"f",1,"within an hour",1,"f",2,"House","Private room",1,1,1,1,"Real Bed",0,1,3,"f","flexible",55,0,0,0,22,0
"15",4098,18497873,"f",1,"within a few hours",2,"f",2,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",50,2,90,"f","moderate",150,0,0,0,13,0
"16",2191,11212116,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,1125,"t","strict",189,1,0,0,27,3
"17",5682,22355702,"t",1,"within an hour",1,"t",2,"Guest suite","Entire home/apt",2,1,0,1,"Real Bed",25,2,31,"t","moderate",125,0,0,0,26,0
"18",2893,13814892,"f",1,"within a few hours",3,"t",2,"Townhouse","Private room",1,1,1,1,"Real Bed",35,2,20,"f","moderate",74,0,0,0,16,0
"19",1969,9805136,"f",1,"within an hour",7,"f",6,"Townhouse","Entire home/apt",6,1,2,3,"Real Bed",77,1,28,"f","strict_14_with_grace_period",1000,0,0,0,51,0
"20",6746,25708773,"t",1,"within an hour",5,"f",2,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",85,1,1125,"t","moderate",140,1,0,0,28,3
