"id","host_response_time","host_response_rate","host_is_superhost","host_identity_verified","host_listings_count","neighbourhood_group_cleansed","room_type","guests_included","accommodates","bathrooms","bedrooms","beds","bed_type","price","cleaning_fee","minimum_nights","instant_bookable","cancellation_policy","review_scores_rating","num_amenities","total_nearby_landmarks"
27169115,"within an hour",1,"t","t",1,"Rainier Valley","Private room",1,1,1,1,1,"Real Bed",30,10,1,"t","flexible",1,27,0
3835995,"within an hour",1,"t","t",1,"Ballard","Entire home/apt",1,2,1,1,1,"Real Bed",84,30,2,"f","flexible",1,18,0
18370014,"within an hour",1,"t","f",1,"Other neighborhoods","Entire home/apt",1,2,1,1,1,"Real Bed",103,0,2,"t","moderate",1,42,0
5805162,"within an hour",1,"t","t",2,"Other neighborhoods","Entire home/apt",2,4,1,2,1,"Real Bed",115,75,2,"f","strict_14_with_grace_period",1,26,0
30584439,"within an hour",0.99,"f","f",7,"Capitol Hill","Entire home/apt",1,5,1,1,2,"Real Bed",88,0,1,"t","strict_14_with_grace_period",0,18,0
22746364,"within an hour",1,"t","f",1,"Ballard","Entire home/apt",2,3,1,1,2,"Real Bed",70,45,2,"f","moderate",1,28,0
2976798,"within a few hours",1,"t","t",1,"Other neighborhoods","Private room",2,2,1,2,2,"Real Bed",65,20,2,"f","flexible",1,20,0
20233409,"within a few hours",1,"t","f",3,"West Seattle","Entire home/apt",1,3,1,1,2,"Real Bed",138,40,3,"f","moderate",1,18,0
26432758,"within an hour",1,"t","t",10,"Beacon Hill","Private room",1,2,1.5,1,1,"Real Bed",99,30,1,"t","strict_14_with_grace_period",1,31,0
24945684,"within an hour",1,"t","f",1,"Beacon Hill","Entire home/apt",1,2,1,1,1,"Real Bed",120,35,2,"t","moderate",1,33,0
26756649,"within an hour",1,"t","f",4,"Queen Anne","Entire home/apt",6,6,3.5,3,3,"Real Bed",615,400,2,"f","moderate",1,45,3
25083777,"within an hour",1,"t","t",2,"Queen Anne","Entire home/apt",1,4,1,2,2,"Real Bed",185,75,2,"t","moderate",1,39,1
25355677,"within an hour",1,"t","f",9,"Beacon Hill","Private room",1,2,1.5,1,1,"Real Bed",98,30,1,"f","flexible",1,32,0
15625389,"within an hour",1,"t","f",1,"West Seattle","Entire home/apt",1,2,1,0,2,"Real Bed",90,35,2,"t","strict_14_with_grace_period",1,22,0
16565805,"within an hour",0.92,"f","t",4,"Downtown","Entire home/apt",3,4,1,1,2,"Real Bed",99,65,2,"t","strict_14_with_grace_period",1,49,5
15898247,"within an hour",0.99,"f","f",1276,"Downtown","Entire home/apt",1,6,2,2,2,"Real Bed",999,99,2,"t","strict_14_with_grace_period",0,35,3
22817977,"within an hour",1,"t","f",131,"Cascade","Entire home/apt",1,2,1,1,1,"Real Bed",100,75,2,"t","flexible",1,38,2
14060306,"within an hour",1,"t","f",3,"Lake City","Private room",1,2,2,1,1,"Futon",52,25,1,"t","moderate",1,20,0
7678064,"within an hour",1,"t","t",4,"Queen Anne","Entire home/apt",4,8,3.5,3,5,"Real Bed",330,299,3,"f","moderate",1,44,3
18291990,"within an hour",1,"f","f",1292,"Downtown","Entire home/apt",6,6,2,2,3,"Real Bed",1002,99,1,"t","strict_14_with_grace_period",1,19,5
12496064,"within an hour",0.99,"f","f",152,"Capitol Hill","Entire home/apt",2,2,1,1,1,"Real Bed",239,75,2,"t","strict_14_with_grace_period",1,18,1
27292154,"within an hour",1,"t","t",4,"Central Area","Private room",1,2,2,1,1,"Real Bed",100,50,2,"t","flexible",1,26,0
1851863,"within an hour",1,"t","t",1,"Northgate","Entire home/apt",1,2,1,1,1,"Real Bed",95,150,5,"f","strict_14_with_grace_period",1,24,0
21023969,"within an hour",1,"f","f",100,"Downtown","Entire home/apt",1,3,1,1,1,"Real Bed",195,60,2,"t","strict_14_with_grace_period",1,32,1
22750596,"within an hour",0.99,"f","f",1276,"Downtown","Entire home/apt",1,5,2,2,3,"Real Bed",999,109,2,"t","strict_14_with_grace_period",1,34,6
11325489,"within a few hours",1,"f","f",1,"Capitol Hill","Entire home/apt",2,2,1,1,1,"Real Bed",249,50,2,"f","moderate",1,13,0
218741,"within an hour",1,"t","t",2,"Ballard","Private room",2,3,1,1,1,"Real Bed",90,25,1,"f","moderate",1,43,0
1802663,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,4,1,1,2,"Real Bed",100,60,2,"f","moderate",1,45,0
27509933,"within an hour",1,"t","f",2,"Queen Anne","Entire home/apt",12,14,3.5,6,8,"Real Bed",500,325,5,"t","strict_14_with_grace_period",1,42,1
13580802,"within an hour",1,"t","t",7,"Capitol Hill","Entire home/apt",2,2,1,0,1,"Real Bed",100,50,1,"t","moderate",1,18,3
19412171,"within an hour",1,"t","t",2,"Capitol Hill","Private room",1,1,1,1,1,"Real Bed",78,0,1,"f","strict_14_with_grace_period",1,14,0
30113905,"within an hour",1,"f","f",5,"Northgate","Entire home/apt",1,6,1,2,2,"Real Bed",86,0,5,"t","moderate",1,29,0
10653503,"within an hour",1,"f","t",4,"Central Area","Private room",1,2,1.5,1,1,"Real Bed",100,50,2,"f","strict_14_with_grace_period",1,40,0
25490529,"within an hour",1,"t","f",1,"Central Area","Entire home/apt",2,3,1,1,1,"Real Bed",125,50,1,"f","moderate",1,26,0
21390616,"within a few hours",0.9,"f","f",1,"West Seattle","Entire home/apt",4,4,2.5,2,2,"Real Bed",152,100,3,"f","moderate",1,36,0
9068419,"within an hour",1,"t","t",3,"Other neighborhoods","Entire home/apt",2,2,1,0,1,"Real Bed",90,60,1,"f","strict_14_with_grace_period",1,41,0
22734146,"within an hour",0.9,"t","f",2,"Other neighborhoods","Entire home/apt",1,2,1,1,1,"Real Bed",75,40,2,"t","flexible",1,21,0
25943915,"within an hour",1,"f","t",1,"Capitol Hill","Entire home/apt",6,8,2.5,3,6,"Real Bed",195,150,1,"f","flexible",1,26,0
28844832,"within an hour",0.92,"f","t",3,"Beacon Hill","Private room",2,2,1,1,1,"Real Bed",62,15,1,"t","flexible",1,28,0
4438188,"within an hour",1,"t","t",2,"University District","Entire home/apt",2,2,1,1,1,"Real Bed",110,75,2,"f","strict_14_with_grace_period",1,29,0
23699817,"within an hour",1,"t","f",32,"Central Area","Entire home/apt",8,12,3.5,4,7,"Real Bed",450,150,1,"t","strict_14_with_grace_period",1,29,0
23507877,"within an hour",1,"t","t",1,"Cascade","Entire home/apt",4,4,1,1,1,"Real Bed",121,50,2,"f","moderate",1,34,2
23981287,"within a few hours",0.88,"f","t",1,"Northgate","Entire home/apt",2,3,1,1,1,"Real Bed",89,50,2,"f","strict_14_with_grace_period",1,26,0
11991764,"within an hour",1,"f","t",4,"Capitol Hill","Entire home/apt",2,2,1,1,2,"Real Bed",98,50,3,"f","moderate",1,19,0
6937492,"within a day",1,"t","t",1,"West Seattle","Entire home/apt",1,4,1.5,2,3,"Real Bed",210,75,2,"t","moderate",1,35,0
14070994,"within a few hours",0.8,"f","t",4,"Other neighborhoods","Entire home/apt",1,4,1,1,1,"Real Bed",135,40,1,"f","strict_14_with_grace_period",1,26,0
28638682,"within an hour",1,"f","f",1,"Downtown","Entire home/apt",1,1,1,1,1,"Real Bed",220,0,1,"f","strict_14_with_grace_period",1,11,5
24479408,"within an hour",1,"f","f",1,"Capitol Hill","Entire home/apt",2,2,1,1,2,"Real Bed",250,50,3,"t","flexible",1,52,0
21382777,"within an hour",1,"f","f",1,"Queen Anne","Private room",1,2,1,1,1,"Real Bed",49,0,1,"t","moderate",0,47,0
557126,"within an hour",1,"t","t",2,"Capitol Hill","Private room",3,2,1,1,1,"Real Bed",98,25,2,"f","strict_14_with_grace_period",1,16,0
21357272,"within an hour",1,"f","f",3,"Capitol Hill","Entire home/apt",2,3,1,1,2,"Real Bed",135,50,1,"t","flexible",1,42,0
20332755,"within an hour",1,"f","f",1,"West Seattle","Private room",1,2,1,1,1,"Real Bed",46,10,1,"f","moderate",1,17,0
14634063,"within a day",1,"t","t",0,"Queen Anne","Entire home/apt",1,4,1,1,2,"Real Bed",109,35,2,"f","flexible",1,43,0
5695344,"within an hour",1,"t","t",2,"Lake City","Private room",1,2,1,1,1,"Real Bed",60,15,1,"f","flexible",1,38,0
16069222,"within a few hours",1,"f","t",1,"Delridge","Private room",1,2,1,1,1,"Real Bed",32,0,2,"t","strict_14_with_grace_period",1,21,0
22818313,"within a few hours",1,"t","t",1,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",75,35,1,"f","moderate",1,26,0
28414165,"within an hour",1,"t","f",1,"Beacon Hill","Private room",3,2,1,1,1,"Real Bed",89,25,1,"t","moderate",1,25,0
1298827,"within an hour",0.92,"f","f",3,"Magnolia","Entire home/apt",1,2,1,1,1,"Real Bed",93,0,2,"f","moderate",0,29,0
21643438,"within an hour",1,"t","f",2,"Other neighborhoods","Entire home/apt",1,4,1,2,2,"Real Bed",139,150,21,"t","flexible",1,24,0
17904609,"within an hour",1,"t","f",1,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",45,30,2,"t","moderate",1,33,0
19785981,"within an hour",0.99,"f","f",81,"Other neighborhoods","Entire home/apt",4,4,2,2,2,"Real Bed",166,155,1,"t","super_strict_30",1,17,0
26850502,"within a few hours",1,"f","f",1,"Seward Park","Entire home/apt",1,2,1,0,1,"Real Bed",75,40,2,"f","flexible",1,19,0
28516872,"within an hour",1,"t","f",1,"Queen Anne","Entire home/apt",6,6,1,3,3,"Real Bed",179,155,2,"f","moderate",1,49,0
24360199,"within an hour",1,"t","f",4,"Lake City","Entire home/apt",2,4,1,1,2,"Real Bed",140,20,1,"t","flexible",1,54,0
14187192,"within an hour",1,"t","t",3,"Downtown","Entire home/apt",2,2,1,0,1,"Real Bed",120,69,2,"t","strict_14_with_grace_period",1,41,5
30935352,"within an hour",1,"f","f",1,"Other neighborhoods","Entire home/apt",2,5,3.5,3,3,"Real Bed",75,90,2,"f","flexible",1,18,0
27785791,"within an hour",0.95,"f","f",84,"Cascade","Entire home/apt",1,6,2,2,5,"Real Bed",299,99,1,"t","strict_14_with_grace_period",1,23,1
30815319,"within an hour",1,"f","f",1,"West Seattle","Entire home/apt",2,3,1,1,2,"Real Bed",72,39,1,"f","flexible",1,14,0
25522021,"within an hour",1,"f","f",4,"Central Area","Entire home/apt",1,4,1,2,2,"Real Bed",160,100,2,"t","strict_14_with_grace_period",1,27,0
3772674,"within an hour",1,"t","t",1,"Ballard","Entire home/apt",2,2,1,1,1,"Real Bed",90,75,3,"f","moderate",1,47,0
28385302,"within an hour",1,"f","f",1,"Other neighborhoods","Entire home/apt",1,3,1,1,2,"Real Bed",120,35,2,"t","flexible",1,37,0
301059,"within an hour",1,"t","t",42,"Downtown","Entire home/apt",1,4,1,1,2,"Real Bed",94,107,2,"f","strict_14_with_grace_period",1,28,5
18444377,"within an hour",0.99,"f","f",521,"Capitol Hill","Entire home/apt",2,3,1,1,1,"Real Bed",159,89,21,"t","strict",1,24,3
22373686,"within an hour",0.99,"f","f",81,"Downtown","Entire home/apt",4,4,1,1,2,"Real Bed",164,160,1,"t","super_strict_30",0,30,4
25136102,"within an hour",1,"t","t",2,"Other neighborhoods","Entire home/apt",1,4,1,2,2,"Real Bed",109,0,3,"f","moderate",1,19,0
30593898,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,0,1,"Real Bed",109,89,2,"t","strict",1,21,5
17483515,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,3,1,0,2,"Real Bed",130,45,2,"t","flexible",1,41,0
3426639,"within an hour",1,"f","f",9,"Capitol Hill","Private room",1,1,1,1,1,"Real Bed",34,0,30,"t","strict_14_with_grace_period",0,39,0
12571309,"within an hour",1,"t","t",1,"Rainier Valley","Entire home/apt",1,2,1,1,1,"Real Bed",85,35,3,"f","strict_14_with_grace_period",1,17,0
22639064,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",6,6,2.5,2,5,"Real Bed",290,100,2,"f","moderate",1,41,0
24540346,"within an hour",0.8,"f","t",3,"University District","Entire home/apt",1,4,1,1,2,"Real Bed",150,75,3,"t","strict_14_with_grace_period",0,28,0
23751431,"within an hour",1,"t","f",2,"Other neighborhoods","Entire home/apt",1,7,3.5,3,3,"Real Bed",450,225,4,"t","moderate",1,70,0
26783185,"within an hour",0.99,"f","f",81,"Ballard","Entire home/apt",12,12,3,5,7,"Real Bed",315,250,1,"t","super_strict_30",1,24,0
