"X","id","host_is_superhost","host_response_rate","host_response_time","host_listings_count","host_identity_verified","accommodates","property_type","room_type","guests_included","bathrooms","bedrooms","beds","bed_type","cleaning_fee","minimum_nights","maximum_nights","instant_bookable","cancellation_policy","price","In_Downtown","In_Delridge","In_Lake_City","num_amenities","total_nearby_landmarks"
2458,12607679,"f",1,"within a few hours",1,"t",6,"House","Entire home/apt",1,2,4,6,"Real Bed",175,3,1125,"f","flexible",395,"f","f","f",29,0
2055,10332360,"t",1,"within an hour",3,"t",4,"House","Entire home/apt",3,1,1,2,"Real Bed",65,1,1125,"f","moderate",109,"f","f","f",23,0
3460,16101111,"f",0.99,"within an hour",521,"f",7,"Apartment","Entire home/apt",6,2,3,3,"Real Bed",159,2,1125,"t","strict",500,"f","f","f",25,5
3724,17221609,"t",1,"within an hour",1,"f",2,"Guesthouse","Entire home/apt",2,1,0,1,"Real Bed",20,1,13,"t","strict_14_with_grace_period",91,"f","f","f",35,0
5010,21029544,"t",1,"within a few hours",1,"f",7,"House","Entire home/apt",7,2,4,4,"Real Bed",125,2,1125,"f","moderate",200,"f","f","f",33,0
5309,21713138,"f",1,"within an hour",100,"f",3,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",60,2,1125,"t","strict_14_with_grace_period",195,"t","f","f",32,1
1270,6714501,"f",0.5,"within a day",1,"t",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",45,2,1125,"f","moderate",98,"f","f","f",15,0
2569,13033238,"f",1,"within an hour",15,"t",2,"House","Private room",1,1,1,1,"Real Bed",0,1,29,"t","moderate",85,"f","f","f",19,0
6954,26432758,"t",1,"within an hour",10,"t",2,"House","Private room",1,1.5,1,1,"Real Bed",30,1,20,"t","strict_14_with_grace_period",99,"f","f","f",31,0
1785,8845310,"t",1,"within an hour",3,"t",4,"Other","Entire home/apt",1,1,2,2,"Real Bed",150,3,1125,"t","moderate",175,"f","f","f",22,0
2918,13881097,"t",0.9,"within a few hours",2,"t",2,"Apartment","Entire home/apt",1,1,1,2,"Real Bed",0,1,28,"f","strict_14_with_grace_period",100,"t","f","f",32,3
6112,23704668,"t",1,"within an hour",32,"f",7,"Townhouse","Entire home/apt",4,1.5,2,4,"Real Bed",90,1,365,"t","strict_14_with_grace_period",175,"f","f","f",28,0
4613,20035812,"t",1,"within an hour",1,"f",2,"Apartment","Private room",1,1,1,1,"Real Bed",25,1,29,"f","moderate",50,"f","f","f",28,0
6558,25016471,"t",1,"within a few hours",1,"f",4,"Guest suite","Entire home/apt",3,1,0,2,"Real Bed",35,2,60,"t","flexible",85,"f","f","f",29,0
4594,20017682,"f",0.9,"within a day",1,"f",13,"House","Entire home/apt",10,3.5,5,8,"Real Bed",150,2,1125,"f","strict_14_with_grace_period",495,"f","f","f",20,0
442,1928010,"t",0.99,"within an hour",10,"t",2,"House","Private room",2,1.5,1,2,"Real Bed",30,1,14,"f","moderate",82,"f","f","f",29,0
8315,31668842,"f",1,"within an hour",5,"f",7,"Guesthouse","Entire home/apt",4,1,2,4,"Real Bed",80,1,2,"t","strict_14_with_grace_period",125,"f","t","f",46,0
2546,12972518,"f",1,"within an hour",8,"t",6,"Other","Entire home/apt",6,1,2,3,"Real Bed",70,1,1125,"t","strict_14_with_grace_period",255,"f","f","f",23,0
8052,30467639,"t",1,"within an hour",13,"f",2,"Other","Entire home/apt",2,1,1,1,"Real Bed",100,2,60,"t","flexible",105,"f","f","f",32,2
5262,21623652,"f",1,"within a few hours",4,"t",2,"Townhouse","Entire home/apt",1,1,1,1,"Real Bed",125,30,180,"f","strict_14_with_grace_period",83,"f","f","f",45,0
2082,10529088,"t",1,"within an hour",2,"t",6,"Guest suite","Entire home/apt",4,1,2,3,"Real Bed",80,2,28,"f","moderate",142,"f","f","f",70,0
3294,15436083,"t",1,"within an hour",4,"t",4,"Townhouse","Private room",2,1,1,2,"Real Bed",61,2,28,"t","moderate",68,"f","f","f",39,1
3333,15572827,"t",1,"within an hour",131,"f",3,"Serviced apartment","Entire home/apt",2,1,1,1,"Real Bed",75,2,1125,"t","flexible",99,"f","f","f",38,5
837,4286182,"t",1,"within an hour",1,"t",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",60,2,30,"f","moderate",150,"f","f","f",33,0
7593,28739995,"t",1,"within an hour",3,"f",5,"Apartment","Entire home/apt",6,1,2,3,"Real Bed",75,2,1125,"t","strict_14_with_grace_period",125,"f","f","t",22,0
6872,26112852,"f",0.98,"within an hour",8,"f",4,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",50,2,1125,"t","moderate",150,"f","f","f",19,0
900,4608208,"t",1,"within an hour",1,"t",2,"House","Private room",2,1,1,1,"Real Bed",0,1,1125,"t","flexible",85,"f","f","f",28,0
6164,23877351,"t",1,"within an hour",3,"f",6,"Apartment","Entire home/apt",3,1,2,3,"Real Bed",99,1,1100,"t","moderate",160,"f","f","f",33,0
1730,8507062,"t",1,"within an hour",3,"t",2,"House","Private room",1,2,1,1,"Real Bed",15,3,30,"t","moderate",63,"f","f","f",33,0
1839,9137075,"t",1,"within an hour",8,"f",2,"House","Private room",1,1,1,1,"Real Bed",25,1,1125,"t","flexible",95,"f","f","f",14,0
