,id,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,host_listings_count,neighbourhood_group_cleansed,property_type,room_type,latitude,longitude,guests_included,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,cancellation_policy,review_scores_rating
123,370361,within an hour,100%,t,t,2,Other neighborhoods,House,Private room,47.68348314871843,-122.35705388667769,2,2,1.0,1,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Long term stays allowed"",""Host greets you""}",$85.00,$50.00,3,30,f,moderate,1
5032,21105396,within a few hours,100%,t,f,1,Lake City,House,Entire home/apt,47.72720045386968,-122.28328586379101,1,6,3.0,3,4.0,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Free street parking"",""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",Bathtub,""Children’s books and toys"",""Room-darkening shades"",""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Full kitchen""}",$595.00,$250.00,4,365,f,moderate,1
6140,23773281,within an hour,100%,t,f,1,Queen Anne,Guest suite,Entire home/apt,47.65088024184598,-122.37256615327072,1,2,1.0,1,1.0,Real Bed,"{TV,Wifi,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",""Smart lock"",""Private entrance"",""Hot water""}",$99.00,$40.00,3,120,f,strict_14_with_grace_period,1
3142,14790343,within an hour,100%,t,t,1,Queen Anne,Apartment,Entire home/apt,47.64173609947786,-122.37384927805157,2,4,1.0,0,2.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance""}",$80.00,$40.00,1,30,f,strict_14_with_grace_period,1
8162,31022262,within an hour,100%,f,f,5,University District,House,Private room,47.67053149303139,-122.31383685790131,1,2,1.0,1,1.0,Real Bed,"{Wifi,Kitchen,Heating,Essentials,Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace""}",$40.00,$30.00,1,21,t,strict_14_with_grace_period,0
2349,12084472,within an hour,100%,f,f,5,Delridge,Apartment,Entire home/apt,47.539380315294935,-122.3528025236098,2,4,2.0,2,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water""}",$90.00,$150.00,29,365,f,strict_14_with_grace_period,1
5341,21770606,within a few hours,100%,f,f,1,Capitol Hill,Apartment,Entire home/apt,47.61394824644052,-122.32926434487032,2,4,1.0,1,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Gym,Dog(s),Elevator,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Step-free access"",""Step-free access""}",$109.00,$20.00,1,5,f,moderate,1
3299,15456841,within an hour,100%,t,t,1,Other neighborhoods,Townhouse,Entire home/apt,47.680459288822384,-122.36439417126785,2,6,1.5,2,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",Gym,""Free street parking"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private entrance"",""Outlet covers"",Bathtub,""Fireplace guards"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Long term stays allowed"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Disabled parking spot"",""Lake access"",""Full kitchen""}",$150.00,$90.00,2,29,f,moderate,1
6132,23754774,within a few hours,90%,t,f,1,Downtown,Condominium,Entire home/apt,47.611342566877404,-122.32904187610708,1,2,1.0,1,1.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Accessible-height bed"",""Host greets you""}",$106.00,$0.00,3,1125,f,moderate,1
5440,22105440,within an hour,99%,f,f,521,Downtown,Apartment,Entire home/apt,47.61144587014151,-122.33781726774052,2,3,1.0,1,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",Keypad,""Private living room""}",$275.00,$89.00,2,1125,t,strict,0
1356,7037522,within an hour,100%,t,f,1,Seward Park,Apartment,Entire home/apt,47.56052464906029,-122.26633250905022,2,2,1.0,0,1.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",""Luggage dropoff allowed"",""Long term stays allowed"",""Flat path to front door"",""Well-lit path to entrance"",""Full kitchen"",""Bedroom comforts"",""Bathroom essentials""}",$120.00,$30.00,2,1125,t,moderate,1
3052,14371730,within a day,100%,t,t,1,Other neighborhoods,House,Entire home/apt,47.65685863725725,-122.32646390664387,2,4,1.0,1,2.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Gym,Breakfast,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",$75.00,$50.00,3,1125,f,flexible,1
6660,25345102,within an hour,100%,t,f,1,Other neighborhoods,Guest suite,Entire home/apt,47.654513038327124,-122.34205319313853,1,3,1.0,0,2.0,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Well-lit path to entrance"",""Step-free access"",""Step-free access""}",$150.00,$50.00,2,7,t,moderate,1
5446,22109476,within an hour,100%,t,f,1,Other neighborhoods,House,Private room,47.69247887235778,-122.3923581920398,2,2,1.0,1,1.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""Fireplace guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Disabled parking spot"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Wide entryway""}",$44.00,$25.00,1,15,t,moderate,1
7624,28868804,within an hour,100%,f,f,1,Other neighborhoods,Apartment,Entire home/apt,47.679933110820066,-122.3169300775512,1,4,1.0,2,2.0,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private entrance"",""Hot water"",Other}",$99.00,$35.00,1,1125,t,strict_14_with_grace_period,1
7791,29419494,within an hour,100%,t,f,1,Ballard,Apartment,Entire home/apt,47.68025353904483,-122.36974103727717,2,2,1.0,1,2.0,Real Bed,"{Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove}",$70.00,$25.00,2,1125,f,flexible,1
