"id","host_response_time","host_response_rate","host_is_superhost","host_identity_verified","host_listings_count","neighbourhood_group_cleansed","room_type","guests_included","accommodates","bathrooms","bedrooms","beds","bed_type","price","cleaning_fee","minimum_nights","instant_bookable","cancellation_policy","review_scores_rating","In_Downtown","In_Delridge","In_Lake_City","num_amenities","total_nearby_landmarks"
12265836,"within an hour",1,"t","t",2,"Seward Park","Entire home/apt",1,2,1,1,1,"Real Bed",89,25,2,"t","moderate",1,"f","f","f",50,0
14475174,"within an hour",1,"f","f",40,"Capitol Hill","Private room",1,2,1,0,1,"Real Bed",59,0,1,"t","moderate",1,"f","f","f",23,0
3038772,"within an hour",1,"t","t",1,"Ballard","Private room",1,2,1,1,0,"Real Bed",60,30,2,"f","moderate",1,"f","f","f",41,0
23131508,"within an hour",1,"f","f",1,"Magnolia","Entire home/apt",1,2,1,1,1,"Real Bed",96,10,1,"t","flexible",1,"f","f","f",15,0
27705446,"within an hour",1,"t","f",2,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",55,20,2,"t","flexible",1,"f","f","f",27,0
27656483,"within an hour",1,"t","f",1,"Central Area","Private room",1,3,1,2,2,"Real Bed",90,0,2,"f","moderate",1,"f","f","f",27,0
24360199,"within an hour",1,"t","f",4,"Lake City","Entire home/apt",2,4,1,1,2,"Real Bed",140,20,1,"t","flexible",1,"f","f","t",54,0
18444444,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,4,1,2,2,"Real Bed",105,50,2,"t","moderate",1,"f","f","f",40,0
29654375,"within an hour",1,"t","f",1,"Queen Anne","Entire home/apt",2,2,1,1,1,"Real Bed",90,0,2,"f","flexible",1,"f","f","f",27,3
8425013,"within an hour",1,"f","f",18,"Central Area","Entire home/apt",1,10,3.5,5,6,"Real Bed",350,250,3,"t","strict_14_with_grace_period",1,"f","f","f",29,0
413733,"within a few hours",1,"t","t",2,"Central Area","Entire home/apt",2,5,1,2,2,"Real Bed",269,50,2,"f","moderate",1,"f","f","f",31,0
10332360,"within an hour",1,"t","t",3,"West Seattle","Entire home/apt",3,4,1,1,2,"Real Bed",109,65,1,"f","moderate",1,"f","f","f",23,0
30176806,"within an hour",1,"f","f",1,"Rainier Valley","Entire home/apt",2,4,1,1,2,"Real Bed",59,40,1,"f","flexible",1,"f","f","f",16,0
9216874,"within an hour",1,"f","t",1,"Central Area","Entire home/apt",4,4,1.5,2,2,"Real Bed",190,80,3,"f","strict_14_with_grace_period",1,"f","f","f",28,0
21726236,"within an hour",1,"f","f",100,"Downtown","Entire home/apt",1,3,1,1,1,"Real Bed",195,60,2,"t","strict_14_with_grace_period",0,"t","f","f",32,2
24917684,"within an hour",1,"f","f",123,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",110,40,1,"t","strict_14_with_grace_period",0,"f","f","f",10,0
17556476,"within an hour",1,"t","f",7,"Other neighborhoods","Private room",2,2,1,1,1,"Real Bed",35,45,1,"t","strict_14_with_grace_period",1,"f","f","f",26,0
13495812,"within an hour",1,"t","t",1,"Capitol Hill","Entire home/apt",1,2,1,1,1,"Real Bed",110,65,3,"f","moderate",1,"f","f","f",31,0
18094826,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,1,1,"Real Bed",119,89,2,"t","strict",0,"t","f","f",25,3
17815115,"within an hour",1,"t","t",3,"Capitol Hill","Private room",2,4,2,1,3,"Real Bed",58,35,1,"f","moderate",1,"f","f","f",54,0
23724477,"within an hour",1,"t","t",42,"Other neighborhoods","Entire home/apt",2,4,1,1,1,"Real Bed",77,84,2,"f","strict_14_with_grace_period",1,"f","f","f",33,0
22733768,"within an hour",1,"t","f",131,"Cascade","Entire home/apt",1,2,1,1,1,"Real Bed",150,75,2,"t","flexible",1,"f","f","f",38,2
22151445,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",4,5,2,2,2,"Real Bed",300,129,2,"t","strict",1,"t","f","f",17,5
15342807,"within an hour",1,"t","t",4,"Queen Anne","Private room",2,2,1,1,1,"Real Bed",65,61,2,"t","moderate",1,"f","f","f",25,1
19951176,"within an hour",1,"f","f",1,"Northgate","Entire home/apt",4,4,1,1,2,"Real Bed",10,20,2,"t","moderate",1,"f","f","f",38,0
21019339,"within an hour",1,"f","f",100,"Downtown","Entire home/apt",1,3,1,1,1,"Real Bed",195,60,2,"t","strict_14_with_grace_period",1,"t","f","f",32,1
30326614,"within a few hours",1,"f","t",1,"West Seattle","Entire home/apt",1,6,2.5,3,4,"Real Bed",230,100,3,"t","moderate",0,"f","f","f",43,0
28589135,"within an hour",1,"f","t",1,"Other neighborhoods","Entire home/apt",1,3,1,1,1,"Real Bed",109,0,1,"f","moderate",1,"f","f","f",42,0
3883137,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",4,6,1,1,0,"Real Bed",100,65,2,"f","strict_14_with_grace_period",1,"f","f","f",38,0
25256131,"within an hour",1,"f","f",123,"Central Area","Entire home/apt",1,3,1,0,2,"Real Bed",80,40,1,"t","strict_14_with_grace_period",0,"f","f","f",9,0
17188807,"within an hour",1,"t","t",5,"Other neighborhoods","Entire home/apt",6,6,2.5,3,3,"Real Bed",225,99,10,"f","moderate",1,"f","f","f",28,0
16113811,"within a few hours",1,"f","t",3,"Cascade","Entire home/apt",2,3,2,2,3,"Real Bed",75,75,1,"f","strict_14_with_grace_period",1,"f","f","f",17,0
12812601,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,4,1,1,1,"Real Bed",90,100,2,"f","strict_14_with_grace_period",1,"f","f","f",49,0
6134382,"within an hour",1,"t","t",4,"West Seattle","Private room",1,2,1,1,1,"Real Bed",79,15,1,"f","flexible",1,"f","f","f",34,0
13732104,"within a few hours",1,"t","f",11,"Downtown","Entire home/apt",4,8,2,3,5,"Real Bed",349,115,2,"f","strict_14_with_grace_period",1,"t","f","f",64,3
20197362,"within an hour",1,"t","t",2,"Central Area","Entire home/apt",2,4,1.5,1,1,"Real Bed",120,110,1,"t","strict_14_with_grace_period",1,"f","f","f",33,0
7417852,"within an hour",1,"t","t",3,"Rainier Valley","Private room",1,2,1,1,1,"Real Bed",65,50,1,"t","moderate",1,"f","f","f",22,0
31043835,"within an hour",1,"t","f",11,"Downtown","Entire home/apt",1,6,2,2,3,"Real Bed",199,100,1,"t","strict_14_with_grace_period",1,"t","f","f",18,5
3041619,"within a few hours",1,"t","t",1,"Capitol Hill","Entire home/apt",6,8,2,3,5,"Real Bed",395,175,1,"t","moderate",1,"f","f","f",53,0
29098683,"within a day",1,"f","t",1,"Central Area","Private room",1,1,1,1,1,"Real Bed",30,0,14,"f","flexible",1,"f","f","f",17,0
25054974,"within an hour",1,"f","t",1,"West Seattle","Entire home/apt",2,4,1,2,2,"Real Bed",100,30,2,"f","moderate",1,"f","f","f",19,0
18075421,"within an hour",1,"f","t",2,"Ballard","Entire home/apt",1,6,1,3,4,"Real Bed",270,40,2,"f","moderate",1,"f","f","f",25,0
19039988,"a few days or more",0,"f","t",1,"Capitol Hill","Entire home/apt",1,2,1,1,1,"Real Bed",112,75,7,"f","flexible",1,"f","f","f",22,0
9814002,"within an hour",1,"t","t",2,"Central Area","Entire home/apt",2,2,1,1,1,"Real Bed",90,50,2,"t","moderate",1,"f","f","f",27,0
24018328,"within an hour",1,"t","f",3,"Downtown","Entire home/apt",2,4,1,1,2,"Real Bed",135,20,2,"t","moderate",1,"t","f","f",19,5
13021356,"within an hour",1,"t","t",1,"West Seattle","Private room",2,2,1,1,1,"Real Bed",84,25,1,"f","flexible",1,"f","f","f",19,0
6690388,"within an hour",1,"t","t",1,"Lake City","Entire home/apt",2,2,1,1,1,"Real Bed",71,75,2,"f","strict_14_with_grace_period",1,"f","f","t",32,0
5137315,"within an hour",1,"f","t",9,"Other neighborhoods","Private room",1,2,1.5,1,1,"Real Bed",58,0,2,"t","moderate",1,"f","f","f",20,0
6020319,"within an hour",1,"t","t",1,"Queen Anne","Entire home/apt",2,2,1,1,1,"Real Bed",130,0,3,"t","moderate",1,"f","f","f",39,0
4187961,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,4,1,1,3,"Real Bed",85,60,2,"t","moderate",1,"f","f","f",46,0
18097851,"within an hour",1,"t","f",2,"Northgate","Entire home/apt",1,8,3.5,4,4,"Real Bed",750,150,3,"t","strict_14_with_grace_period",1,"f","f","f",31,0
1351716,"within an hour",1,"t","t",1,"Central Area","Entire home/apt",2,4,1,1,2,"Real Bed",101,0,2,"f","moderate",1,"f","f","f",32,0
4184211,"within a few hours",1,"t","t",2,"Capitol Hill","Private room",1,2,1,1,1,"Real Bed",104,50,1,"f","strict_14_with_grace_period",1,"f","f","f",16,0
24454685,"within an hour",1,"t","f",1,"Central Area","Entire home/apt",2,7,2,3,3,"Real Bed",298,170,2,"f","moderate",1,"f","f","f",35,0
3992155,"within an hour",1,"f","f",1,"Downtown","Entire home/apt",1,2,1,0,1,"Pull-out Sofa",125,80,2,"f","strict_14_with_grace_period",1,"t","f","f",33,5
16645671,"within an hour",1,"t","f",6,"Downtown","Entire home/apt",2,4,1,1,1,"Real Bed",199,60,1,"f","strict_14_with_grace_period",1,"t","f","f",37,5
24958893,"within an hour",1,"f","f",9,"Delridge","Private room",1,2,1,1,1,"Real Bed",48,10,2,"t","flexible",1,"f","t","f",39,0
28111328,"within an hour",1,"t","f",2,"Capitol Hill","Entire home/apt",2,4,2,2,0,"Real Bed",140,70,2,"t","moderate",1,"f","f","f",47,0
21611578,"within an hour",1,"t","f",1,"Delridge","Private room",2,4,1.5,2,1,"Real Bed",60,0,1,"t","flexible",1,"f","t","f",20,0
24556131,"within an hour",1,"f","f",2,"Capitol Hill","Entire home/apt",1,6,1.5,2,4,"Real Bed",124,90,1,"t","moderate",1,"f","f","f",28,0
23025593,"within an hour",1,"t","f",4,"Capitol Hill","Entire home/apt",2,3,1,1,1,"Real Bed",150,65,1,"t","moderate",1,"f","f","f",26,3
20236793,"within an hour",1,"t","t",2,"Capitol Hill","Entire home/apt",2,2,1,1,1,"Real Bed",150,25,2,"t","strict_14_with_grace_period",1,"f","f","f",27,0
11229199,"within an hour",1,"t","t",1,"Other neighborhoods","Private room",2,2,1,1,1,"Real Bed",89,0,1,"t","flexible",1,"f","f","f",31,0
17736840,"within a day",0.9,"t","t",3,"Downtown","Entire home/apt",2,2,1,0,1,"Real Bed",315,70,2,"f","flexible",1,"t","f","f",27,3
28638682,"within an hour",1,"f","f",1,"Downtown","Entire home/apt",1,1,1,1,1,"Real Bed",220,0,1,"f","strict_14_with_grace_period",1,"t","f","f",11,5
2943860,"within an hour",1,"t","t",9,"Downtown","Entire home/apt",1,6,2,1,4,"Real Bed",195,135,3,"t","moderate",1,"t","f","f",24,3
4539948,"within an hour",1,"t","t",1,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",150,0,3,"t","moderate",1,"f","f","f",34,0
29596565,"within an hour",1,"t","f",6,"Capitol Hill","Entire home/apt",1,4,1,2,3,"Real Bed",199,55,1,"t","flexible",1,"f","f","f",30,0
19438205,"within a day",1,"f","f",1,"Magnolia","Entire home/apt",6,8,3,4,4,"Real Bed",900,400,6,"f","strict_14_with_grace_period",1,"f","f","f",37,0
8054902,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,6,1,2,3,"Real Bed",105,89,1,"t","strict_14_with_grace_period",1,"f","f","f",50,0
21023631,"within an hour",0.9,"t","f",2,"Other neighborhoods","Entire home/apt",3,3,1,1,1,"Real Bed",150,40,1,"t","flexible",1,"f","f","f",13,0
30852761,"within a day",0.93,"f","t",11,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",75,0,2,"f","flexible",1,"f","f","f",18,0
9579441,"within an hour",1,"t","t",3,"Capitol Hill","Entire home/apt",2,2,1,1,1,"Real Bed",125,65,1,"f","moderate",1,"f","f","f",36,0
4030640,"within an hour",1,"t","t",1,"West Seattle","Entire home/apt",2,2,1,1,1,"Real Bed",100,50,2,"f","moderate",1,"f","f","f",27,0
2593176,"within an hour",1,"t","t",4,"Central Area","Private room",1,2,2,1,2,"Real Bed",63,30,1,"t","moderate",1,"f","f","f",21,0
26811391,"within an hour",1,"f","f",123,"Cascade","Entire home/apt",1,2,1,0,1,"Real Bed",90,50,1,"t","strict_14_with_grace_period",0,"f","f","f",12,1
8248970,"within an hour",1,"t","t",1,"Magnolia","Entire home/apt",6,6,2,3,4,"Real Bed",250,125,4,"f","moderate",1,"f","f","f",35,0
6328923,"within a few hours",1,"t","t",4,"Capitol Hill","Private room",1,2,1,1,1,"Real Bed",89,30,1,"f","flexible",1,"f","f","f",17,0
22210390,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",4,5,2,2,2,"Real Bed",350,129,2,"t","strict",1,"t","f","f",27,3
6018416,"within an hour",1,"t","t",1,"Ballard","Entire home/apt",5,6,2.5,3,0,"Real Bed",400,200,1,"f","strict_14_with_grace_period",1,"f","f","f",23,0
14651421,"within an hour",1,"t","t",2,"Other neighborhoods","Entire home/apt",2,4,1,2,2,"Real Bed",115,50,2,"f","moderate",1,"f","f","f",43,0
24099531,"within an hour",1,"t","f",10,"Capitol Hill","Entire home/apt",1,2,1,0,1,"Real Bed",90,50,1,"t","moderate",1,"f","f","f",25,0
24709053,"within an hour",0.88,"f","f",3,"Other neighborhoods","Private room",1,1,1,1,1,"Real Bed",45,30,1,"t","flexible",1,"f","f","f",17,0
22844360,"within an hour",1,"t","f",3,"Cascade","Entire home/apt",3,4,1,2,0,"Real Bed",96,88,1,"t","moderate",1,"f","f","f",30,0
29239370,"within an hour",1,"f","t",1,"Beacon Hill","Entire home/apt",2,3,1,1,2,"Real Bed",75,60,2,"f","moderate",1,"f","f","f",46,0
7886645,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",1,2,1,1,0,"Real Bed",99,39,1,"f","strict_14_with_grace_period",1,"f","f","f",31,0
29889060,"within an hour",1,"t","f",2,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",80,40,2,"f","strict_14_with_grace_period",1,"f","f","f",18,0
26566116,"within a few hours",0.83,"f","f",1,"Other neighborhoods","Entire home/apt",1,4,1,2,2,"Real Bed",110,50,2,"t","flexible",1,"f","f","f",25,0
7805332,"within an hour",1,"f","t",1,"Capitol Hill","Entire home/apt",2,2,1,0,1,"Real Bed",76,50,4,"t","flexible",1,"f","f","f",19,0
24718514,"within an hour",1,"t","f",1,"Other neighborhoods","Entire home/apt",4,5,1,2,2,"Real Bed",125,55,1,"t","moderate",1,"f","f","f",34,0
2723368,"within a few hours",1,"t","t",1,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",55,15,1,"f","flexible",1,"f","f","f",20,0
13379420,"within a day",1,"t","t",2,"Ballard","Private room",2,2,1,1,1,"Real Bed",75,0,2,"t","strict_14_with_grace_period",1,"f","f","f",23,0
24545853,"within an hour",1,"t","f",1,"Capitol Hill","Entire home/apt",2,6,2.5,2,3,"Real Bed",195,225,2,"f","strict_14_with_grace_period",1,"f","f","f",35,0
9241055,"within a day",1,"t","t",2,"Other neighborhoods","Entire home/apt",4,4,1,2,2,"Real Bed",180,100,4,"f","strict_14_with_grace_period",1,"f","f","f",32,0
16389086,"within an hour",1,"t","t",1,"Beacon Hill","Entire home/apt",1,2,1,1,1,"Real Bed",125,30,1,"t","flexible",1,"f","f","f",21,0
20283906,"within a few hours",1,"t","t",2,"Other neighborhoods","Entire home/apt",2,5,1,2,2,"Real Bed",187,75,3,"t","strict_14_with_grace_period",1,"f","f","f",36,0
1246769,"within an hour",1,"t","t",1,"Downtown","Entire home/apt",2,2,1,1,1,"Real Bed",129,50,3,"t","strict_14_with_grace_period",1,"t","f","f",44,3
26747050,"within an hour",1,"f","t",2,"Downtown","Entire home/apt",2,4,1,1,2,"Real Bed",133,90,3,"t","moderate",1,"t","f","f",24,5
22145416,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",4,5,2,2,2,"Real Bed",279,129,2,"t","strict",0,"t","f","f",24,5
27703123,"within an hour",1,"t","f",1,"Beacon Hill","Private room",1,2,1,1,1,"Real Bed",100,15,2,"t","moderate",1,"f","f","f",24,0
3269390,"within an hour",1,"t","t",2,"Queen Anne","Entire home/apt",1,2,1,0,1,"Real Bed",130,70,3,"t","moderate",1,"f","f","f",40,1
28226016,"within an hour",1,"t","f",2,"Beacon Hill","Entire home/apt",3,3,0.5,1,2,"Real Bed",19,14,1,"t","flexible",1,"f","f","f",29,0
23628686,"within an hour",1,"t","f",1,"Central Area","Entire home/apt",6,6,2.5,3,4,"Real Bed",349,185,1,"f","moderate",1,"f","f","f",33,0
5978160,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,5,1,1,3,"Real Bed",80,40,2,"f","moderate",1,"f","f","f",48,0
26608363,"within an hour",1,"t","f",1,"Downtown","Entire home/apt",2,6,1,1,3,"Real Bed",173,55,3,"t","strict_14_with_grace_period",1,"t","f","f",50,3
19786006,"within an hour",0.99,"f","f",81,"Downtown","Entire home/apt",6,6,1,2,4,"Real Bed",166,135,1,"t","super_strict_30",1,"t","f","f",30,5
26065165,"within an hour",1,"f","t",1,"Ballard","Entire home/apt",4,6,2,3,3,"Real Bed",325,45,2,"f","strict_14_with_grace_period",1,"f","f","f",37,0
6694276,"within an hour",1,"t","t",1,"West Seattle","Entire home/apt",4,4,1,2,3,"Real Bed",232,60,2,"f","moderate",1,"f","f","f",28,0
2692126,"within a few hours",0.9,"t","f",3,"Queen Anne","Entire home/apt",2,2,1,1,0,"Real Bed",95,70,3,"t","moderate",1,"f","f","f",26,2
9068419,"within an hour",1,"t","t",3,"Other neighborhoods","Entire home/apt",2,2,1,0,1,"Real Bed",90,60,1,"f","strict_14_with_grace_period",1,"f","f","f",41,0
9611409,"within an hour",0.97,"t","t",2,"Other neighborhoods","Entire home/apt",1,2,1,1,1,"Real Bed",79,35,1,"t","moderate",1,"f","f","f",30,0
9015088,"within an hour",1,"t","t",3,"Ballard","Entire home/apt",4,5,2,2,2,"Real Bed",135,50,1,"f","moderate",1,"f","f","f",22,0
23705000,"within an hour",1,"t","f",32,"Central Area","Entire home/apt",6,10,2.5,3,6,"Real Bed",280,150,1,"t","strict_14_with_grace_period",1,"f","f","f",32,0
23273138,"within an hour",1,"t","f",32,"Central Area","Entire home/apt",2,4,1,1,2,"Real Bed",125,90,1,"t","strict_14_with_grace_period",0,"f","f","f",27,0
29280801,"within an hour",1,"t","f",10,"Capitol Hill","Entire home/apt",2,2,1,1,1,"Real Bed",80,75,2,"f","strict_14_with_grace_period",1,"f","f","f",15,0
